Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
637.0,2143.0,768.0,198.4,566.0,343.0,141.37,2116.0,1506.0,1508.0,2.2,609.0,8797.0
13.0,105.0,35.0,5.1,6.0,12.0,2.92,104.0,92.0,78.0,-14.1,26.0,122.0
764.0,3402.0,1444.0,162.0,1548.0,365.0,151.34,3309.0,2638.0,2450.0,-188.6,859.0,15648.0
47.0,278.0,115.0,11.1,10.0,15.0,9.48,259.0,231.0,190.0,-41.2,69.0,524.0
1695.0,5572.0,1861.0,321.3,1291.0,1058.0,389.98,5331.0,3877.0,3702.0,-174.6,1629.0,27748.0
763.0,3106.0,1202.0,274.9,1124.0,259.0,177.16,2974.0,2343.0,2260.0,-82.9,714.0,19033.0
906.0,3962.0,1849.0,295.6,1559.0,804.0,202.01,4068.0,3056.0,3245.0,189.0,824.0,16404.0
32.0,244.0,78.0,10.8,2.0,23.0,4.8,251.0,212.0,173.0,-39.0,78.0,305.0
314.0,1524.0,597.0,146.2,245.0,243.0,64.02,1586.0,1210.0,1149.0,-61.0,437.0,6176.0
835.0,3458.0,1353.0,282.3,659.0,461.0,207.52,3360.0,2623.0,2277.0,-346.0,1083.0,16261.0
88.0,259.0,91.0,20.6,61.0,61.0,14.02,255.0,171.0,172.0,1.0,83.0,771.0
1268.0,3428.0,1252.0,244.6,1264.0,900.0,170.06,3323.0,2160.0,2469.0,309.0,853.0,16174.0
376.0,1506.0,360.0,132.6,566.0,170.0,70.04,1509.0,1130.0,967.0,-163.0,542.0,6889.0
99.0,633.0,251.0,41.7,92.0,89.0,36.61,648.0,534.0,464.0,-70.0,183.0,1517.0
295.0,990.0,338.0,102.4,118.0,244.0,52.94,989.0,695.0,653.0,-42.0,336.0,2620.0
668.0,2952.0,1150.0,204.0,1206.0,514.0,127.39,3069.0,2284.0,2205.0,-79.0,864.0,13271.0
466.0,1969.0,942.0,177.3,814.0,440.0,123.14,2162.0,1503.0,1655.0,152.0,507.0,8536.0
726.0,3293.0,1237.0,258.4,974.0,561.0,159.48,3349.0,2567.0,2532.0,-35.0,818.0,14513.0
1474.0,6452.0,2480.0,441.3,2792.0,1065.0,306.02,6412.0,4978.0,4979.0,0.6,1433.0,32009.0
39.0,287.0,118.0,15.7,9.0,32.0,7.21,299.0,248.0,198.0,-50.0,101.0,479.0
15.0,229.0,79.0,8.7,18.0,5.0,4.75,230.0,214.0,156.0,-58.0,73.0,447.0
56.0,353.0,110.0,17.4,13.0,30.0,7.53,344.0,297.0,263.0,-34.0,81.0,308.0
391.0,1619.0,668.0,172.0,338.0,372.0,119.96,1730.0,1228.0,1248.0,20.0,482.0,7427.0
503.0,1796.0,369.0,174.5,803.0,343.0,156.18,1829.0,1293.0,1202.0,-90.0,627.0,10429.0
728.0,2535.0,971.0,254.6,656.0,467.0,167.42,2557.0,1807.0,1867.0,60.0,691.0,9957.0
7.0,120.0,40.0,3.0,7.0,1.0,2.28,115.0,113.0,81.0,-32.0,34.0,145.0
727.0,3606.0,1559.0,198.9,1757.0,454.0,172.57,3612.0,2879.0,2776.0,-103.0,836.0,17513.0
32.0,307.0,133.0,13.4,12.0,15.0,9.86,300.0,275.0,232.0,-42.0,68.0,580.0
